"s10"	"s11"	"s1"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s2"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s3"	"s32"	"s34"	"s35"	"s36"	"s37"	"s38"	"s39"	"s40"	"s41"	"s4"	"s5"	"s6"	"s7"	"s9"	"ss11"	"ss1"	"ss12"	"ss13"	"ss14"	"ss15"	"ss16"	"ss18"	"ss19"	"ss21"	"ss2"	"ss23"	"ss24"	"ss25"	"ss26"	"ss27"	"ss28"	"ss29"	"ss30"	"ss3"	"ss4"	"ss5"	"ss7"	"ss8"	"ss9"
"[Agitococcus] lubricus group_([Agitococcus] lubricus group)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28066918482954e-05	0	0.00255987621576343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.40982087114594e-05	0	0	0	0	0	0	0	0	0	0
"[Agitococcus] lubricus group_Agitococcus lubricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104603130492754	0	0	0	0	0	3.69047948554716e-05	0	0	0	0	0	0.000462616000962241	0	0.000128196417422919	0	0	0	0	0	0	0	0	0	0.000121822563000538
"[Agitococcus] lubricus group_metagenome"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00469310639556629	0	3.48677101642513e-05	0	0	0	0	0	3.69047948554716e-05	0	0	0	0	0	0	0	6.40982087114594e-05	0	0	0	0	0	0	0	0	0	0
"[Aquaspirillum] arcticum group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000199663766217689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G163"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5399908865127e-05	0	0	0	0	0
"[Desulfobacterium] catecholicum group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000145585837409737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] brachy group_([Eubacterium] brachy group)"	0	0	0	0	0	0	0.000278516620479327	0	0	0.00121420375553222	0	0.000361788217860182	0	0	0	0	0	0	0	0	0.0195388463601525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000971353083417517	0	0	0	0	0.000291171674819474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] brachy group_Eubacterium sp. oral clone JS001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00849595798362597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] brachy group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109465599887907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] hallii group_([Eubacterium] hallii group)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000462616000962241	0	0	0	0	0	0	0	0	0	0	0	0
