"B19"	"B20"	"B24"	"B25"	"B27"	"B28"	"X301_11"	"X301_12"	"X301_13"	"X301_15"	"X301_21"	"X301_22"	"X310_3"	"X301_5"	"X301_6"	"X301_8"	"X301_9"	"B32"	"B36"	"B37"	"B4"	"B5"	"B7"	"B9"	"X301_23"	"B26"	"B31"
"[Acetivibrio] ethanolgignens group_Acetivibrio ethanolgignens"	0	0	0	0	0	0	0.00150199765688366	0	0	0	0	0	0	0	0.000949018714649053	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"[Agitococcus] lubricus group_([Agitococcus] lubricus group)"	0	0	0	0	0	0.0142490738102023	0	0.00171068838100452	0.00140535298953715	0.00121617512921861	0	0	0.00101248392681766	0.00778719162721156	0.00332156550127169	0.00150105636841928	0.00207542079156549	0	0	0	0	0	0	0.000628488109004978	0.000532049792766606	3.5930420023017e-05	0
"[Agitococcus] lubricus group_Agitococcus lubricus"	0	0	0	0	0	0	0	0	0	0	0	0	0.00101248392681766	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Agitococcus] lubricus group_metagenome"	0	0	0.00414576510094938	0.00026645598879819	0	0.042747221430607	0.00600799062753462	0.00855344190502258	0.00948613267937574	0.00324313367791629	0	0	0	0.0165088462496885	0.0109137152184641	0.00309592875986475	0.0166033663325239	0.0016463615409944	0	0	0	0	0	0.00188546432701493	0.00101976210280266	0.000251512940161119	0
"[Agitococcus] lubricus group_uncultured bacterium"	0	0	0	0	0	0	0	0.00171068838100452	0.00316204422645858	0.00283774196817675	0	0	0	0.00467231497632694	0.00142352807197358	0.000562896138157228	0.00207542079156549	0	0	0.000344714662438167	0	0	0	0	4.43374827305505e-05	3.5930420023017e-05	0
"[Agitococcus] lubricus group_uncultured gamma proteobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934462995265387	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"[Agitococcus] lubricus group_uncultured sludge bacterium"	0	0	0	0	0	0	0.00300399531376731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Anaerorhabdus] furcosa group_Anaerorhabdus furcosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000281448069078614	0	0	0	0	0	0	0	0	0	0	0
"[Anaerorhabdus] furcosa group_uncultured Firmicutes bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Aquaspirillum] arcticum group_Aquaspirillum arcticum"	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0.000311487665088462	0.000949018714649053	0	0	0	0	0	0	0	0	0	0	0	0
"[Aquaspirillum] arcticum group_uncultured bacterium"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0.000474509357324526	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
