"B19"	"B20"	"B24"	"B25"	"B27"	"B28"	"X301_11"	"X301_12"	"X301_13"	"X301_15"	"X301_22"	"X310_3"	"X301_5"	"X301_6"	"X301_8"	"X301_9"	"B32"	"B36"	"B37"	"B4"	"B5"	"B7"	"B9"	"X301_23"	"B26"	"B31"
"AaculeatusATCC16872"	0.87719298245614	0	0	0	0	0	0	0	0	0	0	0	1.14942528735632	0.0338810774182619	0	1.93548387096774	0	0	0	0	0	0	0	0.0227842333105491	0	0.115673799884326
"Acandida2VRR"	0	0	0	0	0.0301674292322389	0	0	0	0	0	0	0	0	0	0.211193241816262	0	0	0	0	0	5.37634408602151	0	0	0	0	1.61943319838057
"AflavusNRRL3357"	0	0	0	0	0	0	0.6	0.227790432801822	0.192233756247597	0	0	0	0	0	0.739176346356917	0	0	0	0	0	0	0	11.0822060353798	0	0	0
"AfumigatusA1163"	1.75438596491228	0	0	0	0	1.28205128205128	1.4	0.455580865603645	0.269127258746636	0.30060120240481	0	0	0	0	0	0	27.5	0	0	0	0	0	0	0	0	0
"AfumigatusAf293"	0	0	0	0	0	0	0.4	1.13895216400911	0.192233756247597	0.30060120240481	0	0	0.14367816091954	0	0	0	5	0	0	0	0	0	0.260145681581686	0	0	0
"AglaucusCBS516.65"	0	0	0	0	0	0	0	0.911161731207289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AlaibachiiNc14"	0	0	0	0.516795865633075	0.00502790487203982	0	0.2	0	0.269127258746636	0.200400801603206	0.436681222707424	0	0.431034482758621	0.0169405387091309	0.105596620908131	0	0	0	0	0	0	0	0.0520291363163372	0.0911369332421964	0.292397660818713	0
"AnidulansFGSCA4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0468262226847	0	0	0
"AoryzaeRIB40"	0	0	0	0	0	0	0.4	0.227790432801822	0.0384467512495194	0	0.436681222707424	0	0	0	0.211193241816262	0	0	0	0	0	0	0	11.8106139438085	0	0	0
"AsydowiiCBS593.65"	0	0	0	0	0	1.28205128205128	1	2.50569476082005	0.307574009996155	0.701402805611222	0	0	0.28735632183908	0.0508216161273928	0.211193241816262	2.58064516129032	0	0	0	0	0	0	0	2.30120756436546	2.33918128654971	0.115673799884326
