"s10"	"s11"	"s1"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s2"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s3"	"s32"	"s34"	"s35"	"s36"	"s37"	"s38"	"s39"	"s40"	"s41"	"s4"	"s5"	"s6"	"s7"	"s9"	"ss11"	"ss1"	"ss12"	"ss13"	"ss14"	"ss15"	"ss16"	"ss18"	"ss19"	"ss21"	"ss2"	"ss23"	"ss24"	"ss25"	"ss26"	"ss27"	"ss28"	"ss29"	"ss30"	"ss3"	"ss4"	"ss5"	"ss7"	"ss8"	"ss9"
"AaculeatusATCC16872"	0	0	0	0	0.00293027412714459	0	0	0.000152727017256626	0	0	5.920691157803e-05	0	0.134109823085261	0	0.00974279033515199	0.00180594734579919	0	0.00953016296578671	0	0	0	0.223413762287757	0.00139338924151689	0	0	0	0	0	0.00163137459623479	0	0	0.0329200043893339	0	0.000156358962652098	0	0	0	0	0	0.068936991589687	0	0	9.15057918590957e-05	0	0	0	0.859356088114258	0	0.922509225092251	0	0.0171467764060357	0	0	0.0519561490102354	0.0278762295408387	0	0	0	0	0	0	0.0540832882639265	0
"AclavatusNRRL1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15937087019966e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AfischeriNRRL181"	0	0	0	0	0	0	0	0	0	0	0	0	0.00734848345672662	0	0	0	0	0	0.0370202297642647	0	0	0	4.15937087019966e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0151906425641805	0	0	0	0	0.00905387052965143	0	0	0.0968288549987896	0.0207965061869606	4.15967796041597	0	0	0.0505305709954523	0	0	0	0	0	0	0	0	0	0.0540832882639265	0
"AflavusNRRL3357"	0	0	0	0	0	0	0	0	0	0	3.94712743853533e-05	0	0.00183712086418165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0138146988395653	0	0	0	0	0	0	0	0	0	0.00825491167244511	0.000329400293825062	0	0.124779037121764	0	0	0	0	0	0	0	0	0.115154306771073	0	0	0	0.864100549882168	0	0
"AfumigatusA1163"	0.000666712595756597	0	6.8616830171424e-05	0	0	0	0.000871034614915597	0.000152727017256626	0.257357519405587	0.000522466901721776	0	0	0.00551136259254496	7.09778620048407e-05	0.455475448168355	0	0	0.00635344197719114	0.169576536339535	0	0	0	4.15937087019966e-05	0	0	0	0	0.436530729465824	0.00163137459623479	0	0	0	0.0722428338782157	0	0	0.332307261788163	0.0364511190493548	0.282087447108604	0.0759532128209023	0	0.000102815790346266	0.0111142670140904	0	0.00905387052965143	0	0	0	0.228761568056566	0	0.299246723764317	0	0	0	0	0	0	0	0	0	0	0.706991358994501	0	0
"AfumigatusAf293"	0	0	0.000260743954651411	0	0	0	0	0	0.303017724461417	0.000467470385751063	0	0	0.00367424172836331	7.09778620048407e-05	0.345869056897896	0	0	0	0.151663521937472	0	0	0.178731009830206	4.15937087019966e-05	0	0	0	0	0.0344629523262493	0	0	0	0	0.0697939242552254	0.000156358962652098	0	0.269343780607248	0.0218706714296129	0	0.106334497949263	0	5.14078951731328e-05	0.00123491855712116	0	0	0	0	0	0.519912654674015	0.0335457900033546	0.257971313589929	0	0.0252652854977261	0	0	0	0	0	0	0	0	0.981932443047918	0	0
"AglaucusCBS516.65"	0	0	0	0.635930047694754	0.000244189510595383	0.00141533801810217	0.000871034614915597	0.00274908631061926	0	0	0	0.00012078009447419	0.00918560432090827	0	0.002435697583788	0	0	0.225547190190286	0.00238840192027514	0	0	0.31277926720286	0.000883866309917427	0	0	0	0	0.0344629523262493	0.00163137459623479	0	0	0	0	0.000156358962652098	0.0460489961318843	1.10186092066601	0	0.141043723554302	0	2.82641665517717	0	0	0	0	0	0.000658800587650124	1.18615347373517	0.0623895185608818	1.1070110701107	0	0	0	0	0	0.0039823185058341	0	0	0	0.108695652173913	0	0.667714061272584	0.324499729583559	0
"AkawachiiIFO4308"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0455719276925414	0	0	0	0	0	0	0	0	0	0	0	0.351508916323731	0	0	0	0	0	0	0	0	0	0	0	0
"AluchuensisCBS106.47"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03984271754991e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265775034293553	0	0	0	0	0	0	0	0	0	0	0	0
"AmnigerUAMH3544"	0	0	1.37233660342848e-05	0	0	0	0	0	0.381885351376033	0	0	0	0	0	0	0.000361189469159837	0	0	0.00358260288041272	7.46921376815112e-05	0	0	1.03984271754991e-05	0	0	0	0	0	0.00652549838493915	0.00834353098231171	0	0	0	0.0104760504976906	0	0	0	0	0	0.0137873983179374	0	0.00493967422848463	0	0	0.0660392933795608	0	0.0847252481239409	0	0.0335457900033546	0.0825508203487772	0	0	0	0.148075024679171	0	0.0429861011606247	0	0	0.434782608695652	0	0.353495679497251	0.973499188750676	0
"AmutatusUAMH3576"	0	0	1.37233660342848e-05	0	0	0	0.000871034614915597	0	0	2.74982579853566e-05	0	0	0	0	0	0	0	0	0	7.46921376815112e-05	0	0	0	0	0	0	0	0	0.00652549838493915	0	0	0	0	0.00422169199160665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151591712986357	0	0	0	0.0143287003868749	0	0	0	0	0.274941084053417	0	0
"AnidulansFGSCA4"	0	0	0	0	0	0	0.218629688343815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122445481149518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AnigerATCC1015"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000149384275363022	0	0	0	0	0	0	0	0	0.164768834219714	0	0	0	0	0	0	0	0	0	0	0.358472356266373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.314218381775334	0	0
"AnigerATCC13496"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000149384275363022	0	0	0	0	0	0	0	0	0.127247218506313	0	0	0	0	0	0	0	0	0	0	0.248173169722873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628436763550668	0	0
"AnigerCBS513-88"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127247218506313	0	0	0	0	0	0	0	0	0	0	0.275747966358748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706991358994501	0	0
"AnigerN402ATCC64974"	0	0	0	0	0	0	0	0	0	0	0	3.01950236185475e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117458970928905	0	0	0	0	0	0	0	0	0	0	0.234385771404936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2356637863315	0	0
