B19	B20	B24	B25	B27	B28	X301_11	X301_12	X301_13	X301_15	X301_21	X301_22	X310_3	X301_5	X301_6	X301_8	X301_9	B32	B36	B37	B4	B5	B7	B9	X301_23	B26	B31
Human betaherpesvirus 6B	11.9390347163421	14.826153509731	11.2296462661426	3.29039663308252	12.3259623259623	12.707182320442	5.87937151545869	9.79020979020979	9.04267589388697	7.78639618138425	9.09090909090909	13.4259259259259	2.96154268895864	3.72208436724566	0.405380902630875	4.86175115207373	9.56641431520991	14.4145910962934	15.8699808795411	12.2031662269129	12.5083166999335	13.4891348913489	11.3269314709734	6.70682077160996	10.8181818181818	13.9775668679896	14.8148148148148
Meleagrid alphaherpesvirus 1	11.2193056731583	12.4863328230921	11.341942728804	2.6272159163372	11.6502866502867	13.6543014996054	5.77800304105423	7.41258741258741	5.88235294117647	6.77207637231504	0	11.6898148148148	2.60127254741521	3.16377171215881	0.242192424255507	2.86866359447005	5.11011699931177	13.4340066679741	11.376673040153	11.5435356200528	12.1091151031271	12.5871258712587	9.88651243998254	5.19290249063975	7.63636363636364	14.2795513373598	13.9784946236559
Enterovirus C	0	0	0	0	0	0	0	0	0	0.0298329355608592	0	0	0.0158763113222525	20.5645161290323	95.9319443604998	1.20967741935484	0.0172057811424639	0	0	0	0	0	0	0	0	0	0
Rhinovirus B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8341013824885	0	0	0	0	0	0	0	0.00542623039774269	0	0	0
Chelonid alphaherpesvirus 5	2.75190516511431	1.35578394926744	4.88489612577204	0.420864685626833	2.06797706797707	3.86740331491713	2.07805372529143	2.55244755244755	1.75317185697809	5.93675417661098	9.09090909090909	7.69675925925926	0.497050669858212	3.50496277915633	0.069074488201214	0.65668202764977	1.86682725395733	3.45165718768386	2.86806883365201	2.53957783641161	4.59081836327345	3.2390323903239	0.916630292448712	1.58988550653861	18.4545454545455	2.76100086281277	2.2700119474313
Human gammaherpesvirus 4	0	0.0437349661054013	0.112296462661426	1.07129192705012	0.42997542997543	2.05209155485399	0	0	0	0	0	0	0	0	0	0.357142857142857	0	0	0.0956022944550669	12.302110817942	0	0	0.0491051942383239	0	0	0	0.955794504181601
Enterovirus B	0.0423370025402202	0	0.336889387984278	0	0	0	3.09173846933604	0.48951048951049	3.66782006920415	6.5035799522673	0	0.0578703703703704	0	4.65260545905707	0.047056995087077	2.69585253456221	0.137646249139711	0	0	0	0	0.1640016400164	0	0	0.0909090909090909	0	0
Human mastadenovirus B	0.677392040643522	0.0437349661054013	1.40370578326783	0	0.102375102375102	0.552486187845304	42.6254434870755	11.9230769230769	13.9792387543253	13.3054892601432	0	1.09953703703704	0.0146550566051561	19.4478908188586	0.172254504951777	34.9884792626728	0.817274604267034	0.17650519709747	0	0.131926121372032	0	0.656006560065601	0	0.0379836127841988	1	0.0862812769628991	0.1194743130227
Human alphaherpesvirus 1	0.0423370025402202	0.153072381368904	0.0561482313307131	75.1179696467287	16.5847665847666	0.15785319652723	1.06436898124683	0.48951048951049	2.42214532871972	11.7840095465394	0	0.0578703703703704	75.0253410353797	11.6004962779156	0.0034537244100607	0.172811059907834	0.240880935994494	0.235340262796627	0	0	0.0665335994677312	0	0.0218245307725884	36.144120679364	0	0	0
HPIV-3	0	0	0	0	0	0	0	0	2.51441753171857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human betaherpesvirus 7	0	0	0	0.0255069506440505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054561326931471	0	0	0	3.7037037037037
Monkeypox virus	0.169348010160881	0.0656024491581019	1.12296462661426	0.0255069506440505	0.102375102375102	0.394632991318074	0.0506842372022301	0	0.115340253748558	0	0	0.0578703703703704	0.00488501886838538	0.0930521091811414	0.00172686220503035	0.0115207373271889	0.0430144528561597	0.117670131398313	0.286806883365201	0	0.399201596806387	0.4510045100451	0.0327367961588826	0.0271311519887134	0.0909090909090909	0.0431406384814495	0.17921146953405
Human betaherpesvirus 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00172686220503035	0	0	0	0	0	0	0	0	0	0	0	0
Human betaherpesvirus 6A	73.07366638442	70.9818499890663	69.5115103874228	17.4212472898865	56.7362817362817	66.6140489344909	32.9447541814496	65.7692307692308	55.0865051903114	39.9761336515513	81.8181818181818	65.8564814814815	18.8793766715924	33.1575682382134	3.12044000448984	39.1820276497696	82.1834136269787	68.1702294567562	69.5028680688337	61.2796833773087	70.3260146373919	69.4136941369414	77.7608031427324	50.295729556677	61.9090909090909	68.8524590163934	63.9784946236559
Vaccinia virus	0.0846740050804403	0.0437349661054013	0	0	0	0	6.48758236188545	1.57342657342657	5.5363321799308	7.90572792362769	0	0.0578703703703704	0	0.0930521091811414	0.00474887106383346	0.161290322580645	0.0172057811424639	0	0	0	0	0	0	0	0	0	0
